🕘️更新时间,#genre#
2025-11-17 20:52:55,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub

🔆央视频道🔆,#genre#
CCTV-1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=testpub
CCTV-1,http://iptv.4666888.xyz/iptv2A.php?id=7
CCTV-1,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-1,http://221.13.235.63:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,https://hyf.serv00.net/蜀小果.php?id=cctv1
CCTV-1,http://106.53.99.30/tv/api.php?id=cctv1
CCTV-1,http://www.lnlee.top:65535/udp/239.81.0.102:4056
CCTV-1,http://bxtv.3a.ink/migu.php?id=cctv1
CCTV-1,http://bxtv.3a.ink/migu.php?id=608807420
CCTV-1,http://cloud.diskcloud.cn:4022/rtp/239.45.3.145:5140
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-1,https://live.chinacert.cftest5.cn/mg/?id=608807420
CCTV-2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=testpub
CCTV-2,http://106.53.99.30/tv/api.php?id=cctv2
CCTV-2,http://221.13.235.63:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://106.53.99.30/tv/cctv2.php
CCTV-2,http://bxtv.3a.ink/migu.php?id=631780532
CCTV-2,https://hyf.serv00.net/蜀小果.php?id=cctv2
CCTV-2,http://bxtv.3a.ink/migu.php?id=cctv2
CCTV-2,http://www.lnlee.top:65535/udp/239.81.0.115:4056
CCTV-2,http://rfx2018.55555.io:2345/udp/239.77.1.158:5146
CCTV-2,http://iptv.4666888.xyz/iptv2A.php?id=8
CCTV-2,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225588
CCTV-2,http://goo.bkpcp.top/mg/CCTV2
CCTV-3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=testpub
CCTV-3,http://221.13.235.63:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://bxtv.3a.ink/migu.php?id=624878271
CCTV-3,https://hyf.serv00.net/蜀小果.php?id=cctv3
CCTV-3,http://bxtv.3a.ink/migu.php?id=cctv3
CCTV-3,http://iptv.4666888.xyz/iptv2A.php?id=9
CCTV-3,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV-3,http://106.53.99.30/tv/migu.php?id=cctv3
CCTV-3,http://cloud.diskcloud.cn:4022/rtp/239.45.1.68:5140
